"YEAR_WEEK","STORE_ID","POS_AMT","POS_QTY"
201729,760,84.78,16
201729,3134,22.09,4
201730,758,32.34,6
201730,3104,20.4,4
201730,3150,49.97,9
201730,3134,22.69,5
201730,3682,20.4,4
201730,3148,26.37,5
201730,760,78.21,14
201730,1386,50.25,9
201730,291,212.98,38
201730,3476,28.86,6
201730,770,74.13,13
201730,3614,44.28,8
201731,3149,32.24,6
201731,3919,30.45,6
201731,793,50.26,9
201731,1399,62.09,11
201731,3496,14.93,3
201732,744,85.46,15
201732,3493,49.64,9
201732,3622,15.7,4
201732,263,34.03,6
201732,1306,63.46,12
201732,1341,103.37,18
201732,3933,55.61,10
201732,3135,13.82,3
201732,1384,101.16,19
201732,3665,182.86,32
201732,3635,61.58,11
201732,3643,27.64,6
201732,763,31.73,6
201732,3478,19.46,6
201732,3480,136.98,25
201732,3936,49.64,9
201732,3616,89.22,17
201732,3490,182.86,32
201733,763,42.39,8
201733,3676,49.76,9
201734,263,44.28,8
201734,3022,34.03,6
201734,3132,62.19,11
201734,1399,24.48,5
201734,3910,38.31,7
201736,3150,19.92,4
201736,3659,26.27,5
201736,1356,24,8
201736,3677,118.77,61
201737,3148,24.48,5
201737,3022,34.63,7
201737,3910,50.24,12
201737,796,20.88,4
201738,3619,51.26,9
201738,3659,18.51,4
201738,3910,42.58,10
201738,3125,4.16,4
201738,3677,30.74,12
201738,796,26.73,9
201738,268,84.61,15
201739,3919,34.03,6
201739,796,83.16,28
201739,3463,35.91,12
201740,796,83.31,23
201740,3125,30.45,6
201741,796,50.7,10
201741,3125,26.27,5
201742,1384,45.79,8
201742,3643,33.85,6
201742,3662,45.97,8
201742,3125,22.09,4
201743,1399,40,7
201743,3461,40,7
201743,3478,34.03,6
201743,3133,25.87,5
201744,3117,26.41,5
201744,3653,56.14,10
201744,3461,32.28,6
201744,3618,163.77,29
201744,3622,32.89,7
201744,3621,29.9,6
201744,3676,37.86,7
201744,3496,8.98,2
201744,3134,20.34,4
201744,763,36.5,7
201744,3936,46.59,9
201744,3022,34.93,7
201744,3146,44.3,8
201745,3104,16.17,3
201745,3657,38.33,7
201745,3670,62.29,11
201745,3022,42.5,10
201745,3922,61.08,12
201745,3622,10.18,2
201745,796,23.92,8
201745,3643,33.95,6
201745,3127,39.93,7
201745,3936,24.65,5
201746,3919,26.35,5
201746,1341,61.08,12
201746,796,83.58,42
201747,3112,42.52,8
201747,3149,24.55,5
201747,1370,28.15,5
201747,3490,72.44,16
201747,703,25.14,6
201747,3919,22.75,5
201747,3910,44.32,8
201747,1341,122.72,28
201747,3677,41.53,17
201747,793,33.94,6
201747,3666,79.95,30
201748,3149,18.56,4
201748,3919,4.19,1
201748,3682,53.9,10
201749,3640,80.37,14
201749,1384,93.86,18
201750,1368,18.56,4
201750,3474,20.36,4
201750,763,16.17,3
201751,763,10.18,2
201751,3936,36.43,7
201751,3474,24.55,5
201751,3133,34.14,6
201751,3462,12.57,3
201801,3658,123.37,23
201801,1313,79.86,14
201801,763,10.18,2
201801,3140,16.17,3
201802,763,67.07,13
201802,3463,54.47,13
201802,1368,44.32,8
201803,3150,10.18,2
201803,1368,44.32,8
201803,3919,34.73,7
201803,289,97.72,17
201803,3682,40.13,7
201803,3478,22.75,5
201803,763,12.57,3
201803,3646,20.36,4
201804,3150,25.14,6
201804,1326,8.38,2
201804,3478,4.19,1
201804,1376,34.14,6
201805,266,49.1,10
201805,3133,18.56,4
201805,3127,14,7
201805,277,36.53,7
201806,3618,130.77,23
201806,3141,62.39,11
201807,1341,164.68,32
201808,3496,3.99,1
201808,760,62.29,11
201809,3112,28.15,5
201811,743,26.35,5
201811,744,80.85,15
201811,3151,50.91,9
201811,3150,8.98,2
201811,3135,20.36,4
201811,3126,8.98,2
201811,3142,65.88,12
201811,1370,4.19,1
201811,3646,38.93,7
201811,1326,18.56,4
201811,3924,56.9,10
201811,3643,38.93,7
201811,3141,141.73,25
201811,703,53.9,10
201812,743,25.14,6
201812,3463,25.14,6
201812,3461,22.16,4
201812,1326,8.38,2
201814,3493,39.93,7
201815,3149,68.39,12
201815,3653,22.97,5
201815,3120,39.95,9
201815,3492,64.9,12
201815,3910,74.9,16
201815,1335,160.74,28
201815,3135,32.97,9
201815,3494,58.91,11
201815,3679,76.88,14
201815,291,100,20
201815,3141,59.89,11
201815,3456,56.41,10
201815,3620,88.86,16
201815,705,136.78,24
201815,3682,64.9,12
201815,277,46.93,9
201815,793,28.96,6
201816,718,11.93,3
201816,291,118.59,21
201816,3474,89.2,20
201816,3936,27.95,5
201817,3456,41.92,8
201818,3112,65.54,13
201818,3149,61.78,11
201818,3104,67.77,12
201818,3122,37.82,7
201818,3653,56.89,11
201818,3120,71.18,16
201818,1326,81.63,15
201818,3133,55.79,10
201818,3664,308.9,55
201818,3478,82.81,20
201818,3143,65.54,13
201818,3461,81.63,15
201818,703,141.53,25
201818,268,190.98,36
201818,793,67.77,12
201818,3933,67.77,12
201818,3682,103.36,20
201818,3022,95.49,18
201818,1320,81.63,15
201819,3149,20.46,4
201819,758,37.82,7
201819,3131,123.82,24
201819,3113,135.19,26
201819,3621,135.54,24
201819,3618,55.79,10
201819,3619,43.81,8
201819,3456,73.76,13
201819,3152,27.72,6
201819,3642,97.72,17
201819,3492,61.78,11
201819,3450,149.43,37
201819,705,63.66,12
201819,3615,67.77,12
201819,3675,23.61,6
201819,3496,9.75,3
201819,1356,70.26,13
201819,3673,85.39,17
201819,1313,109.35,21
201819,3124,51.68,10
201819,3451,113.76,20
201820,760,95.14,20
201821,704,207.07,38
201821,3658,212.59,38
201821,3131,233.41,47
201821,1320,295.04,52
201821,3615,97.72,17
201821,1335,260.63,49
201821,268,287.17,50
201821,3922,143.71,26
201821,3618,67.62,14
201821,1341,147.17,28
201821,3461,173.36,31
201821,1326,65.54,13
201821,3456,153.51,27
201821,3682,105.24,21
201821,3022,93.61,17
201821,277,91.83,16
201821,3450,103.08,36
201821,3496,33.94,6
201821,3457,91.73,16
201821,3490,71.87,13
201821,3126,49.8,9
201821,1313,147.71,26
201821,3672,211.23,40
201821,3636,286.05,51
201821,793,51.33,12
201821,3619,103.81,19
201821,737,68.95,17
201821,3141,229.38,40
201821,3134,92.83,17
201821,705,106.77,24
201822,3618,87.62,16
201822,1384,113.46,21
201822,3969,82,82
201822,3450,65.81,13
201823,3969,2.8,4
201823,705,117.86,31
201824,3131,121.37,23
201824,3640,32.33,6
201824,3138,131.37,24
201824,3618,88.54,16
201824,3907,130.33,23
201824,3673,102.96,19
201824,705,36,18
201824,3496,56.72,11
201824,3672,162.66,29
201825,3131,154.21,27
201825,1312,62.18,11
201825,3143,58.69,11
201825,3677,87.56,16
201825,3152,50.24,9
201825,3910,135.28,24
201825,3646,50.24,9
201825,3474,135.75,28
201825,705,55.85,18
201825,3667,145.31,27
201825,3619,8.45,2
201825,3969,95.53,17
201826,3112,158.4,55
201826,743,103.68,36
201826,3149,138.24,48
201826,744,120.96,42
201826,704,164.16,57
201826,758,54.72,19
201826,3658,599.04,208
201826,3104,106.56,37
201826,3660,141.12,49
201826,3131,713.84,248
201826,3122,144,50
201826,3117,953.28,331
201826,3653,169.92,59
201826,3113,172.8,60
201826,3151,383.04,133
201826,3120,118.08,41
201826,3661,688.32,239
201826,3119,262.08,91
201826,3652,86.4,30
201826,3150,135.36,47
201826,3657,109.44,38
201826,3640,204.48,71
201826,263,135.36,47
201826,3462,54.72,19
201826,3681,204.48,71
201826,3142,717.12,249
201826,3937,60.48,21
201826,3670,195.84,68
201826,3926,339.84,118
201826,3621,406.08,141
201826,3494,423.36,147
201826,3682,123.84,43
201826,1312,241.92,84
201826,3143,777.6,270
201826,3132,175.68,61
201826,3622,203.68,71
201826,1350,138.24,48
201826,3644,63.36,22
201826,1346,276.48,96
201826,770,172.8,60
201826,3618,256.32,89
201826,793,132.48,46
201826,3668,106.56,37
201826,266,494.58,172
201826,1341,676.8,235
201826,3476,673.92,234
201826,3680,195.84,68
201826,3145,673.92,234
201826,3919,126.72,44
201826,3663,645.12,224
201826,1386,250.56,87
201826,3493,408.96,142
201826,3022,642.24,223
201826,1356,158.4,55
201826,3138,745.12,259
201826,740,92.16,32
201826,3679,417.6,145
201826,3146,348.48,121
201826,3636,676.8,235
201826,3473,169.92,59
201826,268,322.56,112
201826,3467,573.12,199
201826,3675,353.84,123
201826,3136,288,100
201826,1335,717.12,249
201826,710,135.36,47
201826,1384,325.44,113
201826,3461,276.48,96
201826,3923,840.96,292
201826,3676,123.84,43
201826,730,276.48,96
201826,1306,319.68,111
201826,3665,282.24,98
201826,3616,80.43,27
201826,3925,759.92,264
201826,775,169.92,59
201826,3664,1209.6,420
201826,3615,97.92,34
201826,1320,352.68,123
201826,796,89.28,31
201826,1371,198.72,69
201826,3472,198.72,69
201826,273,95.04,33
201826,3924,823.68,286
201826,3617,155.52,54
201826,1375,854.56,297
201826,3677,596.16,207
201826,1368,192.96,67
201826,3672,413.52,144
201826,3474,201.6,70
201826,275,267.84,93
201826,3463,106.56,37
201826,291,316.8,110
201826,3916,144,50
201826,3922,143.2,50
201826,723,207.36,72
201826,3901,2663.2,925
201826,737,613.44,213
201826,3631,648,225
201826,1313,298.72,104
201826,1336,489.6,170
201826,760,656.64,228
201826,3910,599.04,208
201826,1352,236.16,82
201826,3134,486.72,169
201826,289,161.28,56
201826,3451,357.12,124
201826,3639,207.36,72
201826,1373,230.4,80
201826,293,1463.04,508
201826,3933,757.44,263
201826,3492,112.32,39
201826,3457,100.4,35
201826,1370,221.76,77
201826,3152,167.04,58
201826,3907,105.65,37
201826,3135,95.04,33
201826,1302,858.24,298
201826,288,429.12,149
201826,3133,123.84,43
201826,753,532.8,185
201826,3496,34.56,12
201826,3140,57.6,20
201826,3667,83.52,29
201826,3642,374.4,130
201826,3453,362.88,126
201826,3480,187.2,65
201826,3619,77.76,27
201826,3465,37.44,13
201826,3662,103.68,36
201826,3477,126.72,44
201826,3428,106.56,37
201826,277,336.96,117
201826,3635,109.44,38
201826,3478,77.76,27
201826,3124,120.96,42
201826,3614,141.12,49
201826,3450,1497.6,520
201826,3148,138.24,48
201826,3654,555.84,193
201826,703,258.4,90
201826,3126,100.8,35
201826,3468,527.04,183
201826,3114,270.72,94
201826,3620,31.68,11
201826,3125,25.92,9
201826,3969,14.4,5
201826,3456,250.17,87
201826,3643,161.28,56
201826,763,69.12,24
201826,1399,368.64,128
201826,3666,428.32,149
201826,1394,264.96,92
201826,1326,797.76,277
201826,3659,95.04,33
201826,3915,152.64,53
201826,705,132.48,46
201826,3139,316.8,110
201826,3490,423.36,147
201826,1376,17.28,6
201826,3109,8.64,3
201826,3141,259.2,90
201826,3936,130.09,46
201826,3634,31.68,11
201826,270,336.96,117
201826,3673,319.68,111
201826,3156,123.84,43
201826,3646,92.16,32
201826,3674,48.96,17
201827,3112,285.12,99
201827,743,17.28,6
201827,3149,66.24,23
201827,744,155.52,54
201827,704,826.56,287
201827,758,120.96,42
201827,3658,552.96,192
201827,3104,123.84,43
201827,3660,264.96,92
201827,3653,743.04,258
201827,3131,615.43,214
201827,3117,578.88,201
201827,3122,135.36,47
201827,3120,132.48,46
201827,3113,126.72,44
201827,3151,711.36,247
201827,3150,74.88,26
201827,3652,138.24,48
201827,3119,109.44,38
201827,3661,679.68,236
201827,3657,167.04,58
201827,3640,158.4,55
201827,3933,241.92,84
201827,293,964.8,335
201827,3492,360,125
201827,3644,60.48,21
201827,3472,129.6,45
201827,3617,281.35,98
201827,3907,152.64,53
201827,3135,305.28,106
201827,3146,576,200
201827,3636,734.4,255
201827,3901,1811.52,629
201827,3145,414.72,144
201827,3457,97.92,34
201827,3618,351.36,122
201827,770,190.08,66
201827,3152,385.92,134
201827,1370,216,75
201827,1306,178.56,62
201827,3676,505,176
201827,730,285.12,99
201827,1341,1123.2,390
201827,3665,573.12,199
201827,1371,155.52,54
201827,3639,273.72,144
201827,3451,339.84,118
201827,275,152.28,56
201827,775,161.28,56
201827,3925,293.76,102
201827,3663,547.2,190
201827,3919,512.64,178
201827,3670,607.68,211
201827,3926,216,75
201827,3621,555.84,193
201827,3494,377.28,131
201827,3143,316.8,110
201827,710,889.92,309
201827,1335,699.84,243
201827,1384,118.08,41
201827,1368,141.12,49
201827,3668,276.48,96
201827,3679,394.56,137
201827,263,184.32,64
201827,266,181.44,63
201827,1356,200.6,70
201827,3138,705.6,245
201827,3677,158.4,55
201827,3022,567.36,197
201827,3493,331.2,115
201827,1302,910.08,316
201827,288,472.32,164
201827,3672,357.12,124
201827,3675,135.36,47
201827,289,103.68,36
201827,1352,262.08,91
201827,3476,532.8,185
201827,1375,1012.2,353
201827,793,118.08,41
201827,268,325.44,113
201827,3467,97.92,34
201827,3923,195.84,68
201827,796,126.72,44
201827,1320,181.44,63
201827,3664,996.48,346
201827,3615,120.96,42
201827,3461,169.92,59
201827,3922,262.08,91
201827,723,190.08,66
201827,3916,158.4,55
201827,3473,325.44,113
201827,3142,619.2,215
201827,3680,126.72,44
201827,3631,854.47,297
201827,760,478.08,166
201827,3910,614.71,221
201827,1336,394.56,137
201827,3681,201.6,70
201827,3937,60.48,21
201827,3622,207.36,72
201827,1350,129.6,45
201827,3659,236.16,82
201827,763,290.64,103
201827,273,387.96,167
201827,3666,543.32,289
201827,1394,1293.12,449
201827,3674,79.64,28
201827,3468,495.24,173
201827,3114,328.32,114
201827,3109,60.48,21
201827,1376,144,50
201827,3156,207.36,72
201827,3646,103.68,36
201827,3924,1125.08,391
201827,1399,440.64,153
201827,3635,54.72,19
201827,1346,599.04,208
201827,3667,201.6,70
201827,3642,348.48,121
201827,3477,164.16,57
201827,3428,69.12,24
201827,3126,112.32,39
201827,3643,348.48,121
201827,3616,48.96,17
201827,705,114.2,40
201827,3463,152.64,53
201827,3453,650.88,226
201827,3474,230.4,80
201827,3915,97.92,34
201827,3620,270.72,94
201827,3614,97.92,34
201827,3478,89.28,31
201827,3124,264.96,92
201827,3682,218.88,76
201827,3140,60.48,21
201827,1312,106.56,37
201827,753,391.68,136
201827,740,204.48,71
201827,3619,48.96,17
201827,3480,786.24,273
201827,3462,126.72,44
201827,3133,63.36,22
201827,3673,570.24,198
201827,3134,656.64,228
201827,277,771.84,268
201827,718,40.32,14
201827,1326,1249.92,434
201827,3662,25.92,9
201827,3139,394.56,137
201827,3490,305.04,108
201827,3634,585.39,206
201827,1313,423.36,147
201827,3456,617.71,220
201827,291,181.44,63
201827,3654,750.68,261
201827,3125,37.44,13
201827,3136,213.12,74
201827,703,354.24,123
201827,3450,1537.92,534
201827,3148,34.56,12
201827,1386,743.04,258
201827,3496,106.56,37
201827,3936,290.88,101
201827,737,371.52,129
201827,3141,296.64,103
201827,270,662.4,230
201827,1373,247.68,86
201827,3132,187.2,65
201828,3149,60.16,32
201828,744,492.69,170
201828,3660,262.14,76
201828,3933,44.46,9
201828,3492,273.6,95
201828,3142,967.68,336
201828,288,264.96,92
201828,3670,541.44,188
201828,3152,143.01,33
201828,1320,76.64,14
201828,3631,353.43,119
201828,3676,72.64,13
201828,3910,136.34,24
201828,1356,106.93,37
201828,3668,288,100
201828,1341,712.92,188
201828,3146,457.52,161
201828,3666,105.37,56
201828,3496,46.79,9
201828,3450,1390.77,486
201828,3453,495.36,172
201828,1346,86.4,30
201828,3642,123.43,23
201828,3156,256.32,89
201828,3124,316.8,110
201828,3478,57.76,12
201828,740,589.64,205
201828,273,28.55,8
201828,3134,270.72,94
201828,3936,216,75
201828,3654,365.76,127
201828,3634,526.67,111
201828,3132,149.76,52
201828,3674,123.84,43
201828,1373,164.43,41
201828,3616,64.7,12
201828,3667,546,182
201828,3924,597,199
201828,1399,100.8,35
201829,3149,61.58,11
201829,3660,86.04,17
201829,3151,138,46
201829,3132,100.8,35
201829,3152,97.34,22
201829,1341,517.03,149
201829,3146,360,180
201829,288,40.32,14
201829,3654,463.68,161
201829,3670,136.47,27
201829,740,59.49,11
201829,3142,827.25,269
201829,1346,122.55,25
201829,3492,385.92,134
